1.,NC,000913,c3348681-3347828,((((((((((((((((((((((((((((((&)))))))))))))))))))))))))))))),-146,-117,1,30,-38.31,-63.00,10.87,13.82,-10.81,"isoprenoid biosynthesis protein with amidotransferase like domain",b3209,chromosome,000913c3348681-3347828_54-83
2.,NC,000913,c2672910-2671838,(((((((((((((((((((((((&))))))))))))))))))))))),811,833,64,86,-26.59,-43.40,9.32,7.49,-6.55,"conserved protein",b2544,chromosome,000913c2672910-2671838_1011-1033
3.,NC,000913,c2641066-2639853,((((((((((((((((&)))))))))))))))),589,604,71,86,-21.41,-33.00,4.29,7.30,-4.66,"cytoskeletal protein required for MreB assembly",b2516,chromosome,000913c2641066-2639853_789-804
4.,NC,000913,3931601-3933306,(((((...((((((((((((((&))))))))))))))...))))),-158,-137,65,86,-20.38,-32.30,4.43,7.49,-4.29,"fused D ribose transporter subunits of ABC superfamily ATP binding components",b3749,chromosome,0009133931601-3933306_42-63
5.,NC,000913,3278039-3278712,(((((.((((((((((.(((((.((&)).)))))))))))))))))))),-107,-83,64,86,-20.32,-37.10,9.29,7.49,-4.27,"N acetylgalactosamine specific enzyme IIB component of PTS",b3133,chromosome,0009133278039-3278712_93-117
6.,NC,000913,2176643-2178120,(((((((((..((((..(((((((((&))))))))).))))..))))))))),1246,1271,64,88,-20.17,-33.40,5.73,7.50,-4.21,"nucleoside transporter; low affinity",b2098,chromosome,0009132176643-2178120_1446-1471
7.,NC,000913,2177917-2179121,(((((((((..((((..(((((((((&))))))))).))))..))))))))),-28,-3,64,88,-19.20,-33.40,6.70,7.50,-3.86,"predicted hydrolase",b2099,chromosome,0009132177917-2179121_172-197
8.,NC,000913,3276736-3278216,(((((.((((((((((.(((((.((&)).)))))))))))))))))))),1196,1220,64,86,-18.90,-37.10,10.71,7.49,-3.75,"tagatose 6 phosphate aldolase 1; kbaZ subunit",b3132,chromosome,0009133276736-3278216_1396-1420
9.,NC,000913,3403258-3403928,(((((((((.(((.(((((((&)))))))))).))))))))),213,233,64,83,-18.83,-35.20,8.94,7.43,-3.72,"acetyl CoA carboxylase; BCCP subunit",b3255,chromosome,0009133403258-3403928_413-433
10.,NC,000913,2583553-2585453,((((((((((((.((((((&)))))).)))))))))))),1451,1469,64,82,-18.33,-31.60,6.21,7.06,-3.54,"sensory histidine kinase in two component regulatory system with NarP (NarL)",b2469,chromosome,0009132583553-2585453_1651-1669
11.,NC,000913,3199029-3199849,((((.(((((((((((&))))))))))))))),180,195,72,86,-18.26,-26.80,1.29,7.25,-3.52,"SH3 domain protein",b3055,chromosome,0009133199029-3199849_380-395
12.,NC,000913,3951301-3953351,(((((((((((((((.((&)).))))))))))))))),331,348,69,86,-18.25,-32.40,6.67,7.48,-3.51,"dihydroxyacid dehydratase",b3771,chromosome,0009133951301-3953351_531-548
13.,NC,000913,1472968-1475474,((..(((((((.(((((.((((((((&))))))))))))).)))))))..)),-171,-146,54,78,-18.10,-37.40,10.46,8.84,-3.46,"predicted protein",b1407,chromosome,0009131472968-1475474_29-54
14.,NC,000913,c1598433-1596641,(((..((((((.((((..(((((&)))))..))))))))))..))),567,589,61,82,-17.92,-33.10,7.72,7.46,-3.39,"autoinducer 2 (AI 2) kinase",b1511,chromosome,000913c1598433-1596641_767-789
15.,NC,000913,99444-100711,((((((((((((.((((((((((&)))))))))))))))))))))),928,950,73,94,-17.84,-41.40,11.51,12.05,-3.36,"N acetylglucosaminyl transferase",b0090,chromosome,00091399444-100711_1128-1150
